test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-4-digital,Reading and Writing,1,13,Multiple Choice,A,"US States with the Greatest Number of Organic Farms in 2016 State Organic farming is a method of growing food that tries to reduce environmental harm by using natural forms of pest control and avoiding fertilizers made with synthetic materials. Organic farms are still a small fraction of the total farms in the United States, but they have been becoming more popular. According to the US Department of Agriculture, in 2016 California had between 2,600 and 2,800 organic farms and _______",Which choice most effectively uses data from the graph to complete the text?,Washington had between 600 and 800 organic farms.,New York had fewer than 800 organic farms.,"Wisconsin and Iowa each had between 1,200 and 1,400 organic farms.","Pennsylvania had more than 1,200 organic farms."
sat-practice-test-4-digital,Reading and Writing,1,14,Multiple Choice,C,"Biologist Valentina Gómez-Bahamónand her team have investigated two subspecies of the fork-tailed flycatcher bird that live in the same region in Colombia, but one subspecies migrates south for part of the year, and the other doesn’t. The researchers found that, due to slight differences in feather shape, the feathers of migratory forked-tailed flycatcher males make a sound during flight that is higher pitched than that made by the feathers of nonmigratory males. The researchers hypothesize that fork-tailed flycatcher females are attracted to the specific sound made by the males of their own subspecies, and that over time the females’ preference will drive further genetic and anatomical divergence between the subspecies.","Which finding, if true, would most directly support Gómez-Bahamónand her team’s hypothesis?","The feathers located on the wings of the migratory fork-tailed flycatchers have a narrower shape than those of the nonmigratory birds, which allows them to fly long distances.","Over several generations, the sound made by the feathers of migratory male fork-tailed flycatchers grows progressively higher pitched relative to that made by the feathers of nonmigratory males.",Fork-tailed flycatchers communicate different messages to each other depending on whether their feathers create high-pitched or low-pitched sounds.,The breeding habits of the migratory and nonmigratory fork-tailed flycatchers remained generally the same over several generations. Mo
sat-practice-test-4-digital,Reading and Writing,1,15,Multiple Choice,D,"Ablation Rates for Three Elements in Cosmic Dust, by Dust Source Element SPC AST HTC OCC iron 20% 28% 90% 98% potassium 44% 74% 97% 100% I I I I I I sodium 45% 75% 99% 100% Earth’s atmosphere is bombarded by cosmic dust originating from several sources: short-period comets (SPCs), particles from the asteroid belt (ASTs), Halley-type comets (HTCs), and Oort cloud comets (OCCs). Some of the dust’s material vaporizes in the atmosphere in a process called ablation, and the faster the particles move, the higher the rate of ablation. Astrophysicist Juan Diego Carrillo-Sánchez led a team that calculated average ablation rates for elements in the dust (such as iron and potassium) and showed that material in slower- moving SPC or AST dust has a lower rate than the same material in faster-moving HTC or OCC dust. For example, whereas the average ablation rate for iron from AST dust is 28%, the average rate for _______",Which choice most effectively uses data from the table to complete the example?,iron from SPC dust is 20%.,sodium from OCC dust is 100%.,iron from HTC dust is 90%.,sodium from AST dust is 75%. odule
sat-practice-test-4-digital,Reading and Writing,1,16,Multiple Choice,C,,"Art collectives, like the United States-and Vietnam- based collective The Propeller Group or Cuba’s Los Carpinteros, are groups of artists who agree to work together: perhaps for stylistic reasons, or to advance certain shared political ideals, or to help mitigate the costs of supplies and studio space. Regardless of the reasons, art collectives usually involve some collaboration among the artists. Based on a recent series of interviews with various art collectives, an arts journalist claims that this can be difficult for artists who are often used to having sole control over their work. Which quotation from the interviews best illustrates the journalist’s claim?","“The first collective I joined included many amazingly talented artists, and we enjoyed each other’s company, but because we had a hard time sharing credit and responsibility for our work, the collective didn’t last.”","“We work together, but that doesn’t mean that individual projects are equally the work of all of us. Many of our projects are primarily the responsibility of whoever originally proposed the work to the group.”","“Having worked as a member of a collective for several years, it’s sometimes hard to recall what it was like to work alone without the collective’s support. But that support encourages my individual expression rather than limits it.”","“Sometimes an artist from outside the collective will choose to collaborate with us on a project, but all of those projects fit within the larger themes of the work the collective does on its own.” 9 CONTINUE"
sat-practice-test-4-digital,Reading and Writing,1,17,Multiple Choice,B,"Effects of Mycorrhizal Fungi on 3 Plant Spec Average mass of plants grown in soil containing Average m Plant Mycorrhizal mycorrhizal fungi grown in species host (in grams) to kill fung Corn yes 15.1 3 Marigold yes 10.2 2 Broccoli no 7.5 Mycorrhizal fungi in soil benefits many plants, substantially the mass of some. A student conducted an experiment to illu effect. The student chose three plant species for the experime including two that are mycorrhizal hosts (species known to b from mycorrhizal fungi) and one nonmycorrhizal species (a that doesn’t benefit from and may even be harmed by mycor fungi). The student then grew several plants from each speci soil containing mycorrhizal fungi and in soil that had been tr kill mycorrhizal and other fungi. After several weeks, the stu measured the plants’ average mass and was surprised to disco that _______",Which choice most effectively uses data from the table to com statement?,broccoli grown in soil containing mycorrhizal fungi had higher average mass than broccoli grown in soil that had treated to kill fungi.,corn grown in soil containing mycorrhizal fungi had a h average mass than broccoli grown in soil containing myc fungi.,marigolds grown in soil containing mycorrhizal fungi ha higher average mass than marigolds grown in soil that h treated to kill fungi.,"corn had the highest average mass of all three species gro that had been treated to kill fungi, while marigolds had t"
sat-practice-test-4-digital,Reading and Writing,1,18,Multiple Choice,B,"Several artworks found among the ruins of the ancient Roman city of Pompeii depict a female figure fishing with a cupid nearby. Some scholars have asserted that the figure is the goddess Venus, since she is known to have been linked with cupids in Roman culture, but University of Leicester archaeologist Carla Brain suggests that cupids may have also been associated with fishing generally. The fact that a cupid is shown near the female figure, therefore, _______",Which choice most logically completes the text?,is not conclusive evidence that the figure is Venus.,suggests that Venus was often depicted fishing.,eliminates the possibility that the figure is Venus.,would be difficult to account for if the figure is not Venus.
sat-practice-test-4-digital,Reading and Writing,1,19,Multiple Choice,A,"Literary agents estimate that more than half of all nonfiction books credited to a celebrity or other public figure are in fact written by ghostwriters, professional authors who are paid to write other _______ but whose names never appear on book covers.",Which choice completes the text so that it conforms to the conventions of Standard English?,people’s stories,peoples story’s,peoples stories,people’s story’s odule
sat-practice-test-4-digital,Reading and Writing,1,21,Multiple Choice,C,"After a spate of illnesses as a child, Wilma Rudolph was told she might never walk again. Defying all odds, Rudolph didn’t just walk, she _______ the 1960 Summer Olympics in Rome, she won both the 100-and 200-meter dashes and clinched first place for her team in the 4 ×100-meter relay, becoming the first US woman to win three gold medals in a single Olympics.",Which choice completes the text so that it conforms to the conventions of Standard English?,ran—fast—during,ran—fast during,"ran—fast, during",ran—fast. During 11 CONTINUE
sat-practice-test-4-digital,Reading and Writing,1,23,Multiple Choice,B,"Seneca sculptor Marie Watt’s blanket art comes in a range of shapes and sizes. In 2004, Watt sewed strips of blankets together to craft a 10-by-13-inch _______ in 2014, she arranged folded blankets into two large stacks and then cast them in bronze, creating two curving 18-foot-tall blue-bronze pillars.",Which choice completes the text so that it conforms to the conventions of Standard English?,"sampler later,",sampler;,"sampler,","sampler, later,"
sat-practice-test-4-digital,Reading and Writing,1,24,Multiple Choice,A,"African American Percy Julian was a scientist and entrepreneur whose work helped people around the world to see. Named in 1999 as one of the greatest achievements by a US chemist in the past hundred years, _______ led to the first mass-produced treatment for glaucoma.",Which choice completes the text so that it conforms to the conventions of Standard English?,Julian synthesized the alkaloid physostigmine in 1935; it,"in 1935 Julian synthesized the alkaloid physostigmine, which",Julian’s 1935 synthesis of the alkaloid physostigmine,the alkaloid physostigmine was synthesized by Julian in 1935 and
sat-practice-test-4-digital,Reading and Writing,1,25,Multiple Choice,B,The Arctic-Alpine Botanic Garden in Norway and the Jardim Botânico of Rio de Janeiro in Brazil are two of many botanical gardens around the world dedicated to growing diverse plant _______ fostering scientific research; and educating the public about plant conservation.,Which choice completes the text so that it conforms to the conventions of Standard English?,"species, both native and nonnative,","species, both native and nonnative;","species; both native and nonnative,","species both native and nonnative, Mo"
sat-practice-test-4-digital,Reading and Writing,1,26,Multiple Choice,A,"Sociologist Alton Okinaka sits on the review board tasked with adding new sites to the Hawai‘i Register of Historic Places, which includes Pi‘ilanihale Heiau and the ‘Ōpaeka‘a Road Bridge. Okinaka doesn’t make such decisions _______ all historical designations must be approved by a group of nine other experts from the fields of architecture, archaeology, history, and Hawaiian culture.",Which choice completes the text so that it conforms to the conventions of Standard English?,"single-handedly, however;","single-handedly; however,","single-handedly, however,",single-handedly however -- - ~ - - ~
sat-practice-test-4-digital,Reading and Writing,1,27,Multiple Choice,A,"In 1968, US Congressman John Conyers introduced a bill to establish a national holiday in honor of Dr. Martin Luther King Jr. The bill didn’t make it to a vote, but Conyers was determined. He teamed up with Shirley Chisholm, the first Black woman to be elected to Congress, and they resubmitted the bill every session for the next fifteen years. _______ in 1983, the bill passed.",Which choice completes the text with the most logical transition?,"Instead,","Likewise,","Finally,","Additionally, odule"
sat-practice-test-4-digital,Reading and Writing,1,29,Multiple Choice,D,"Samuel Coleridge-Taylor was a prominent classical music composer from England who toured the US three times in the early 1900s. The child of a West African father and an English mother, Coleridge- Taylor emphasized his mixed-race ancestry. For example, he referred to himself as Anglo-African. _______ he incorporated the sounds of traditional African music into his classical music compositions.",Which choice completes the text with the most logical transition?,"In addition,","Actually,","However,","Regardless, 13 CONTINUE"
sat-practice-test-4-digital,Reading and Writing,1,31,Multiple Choice,D,"While researching a topic, a student has taken the following notes: • Chemical leavening agents cause carbon dioxide to be released within a liquid batter, making the batter rise as it bakes. • Baking soda and baking powder are chemical leavening agents. • Baking soda is pure sodium bicarbonate. • To produce carbon dioxide, baking soda needs to be mixed with liquid and an acidic ingredient such as honey. • Baking powder is a mixture of sodium bicarbonate and an acid. • To produce carbon dioxide, baking powder needs to be mixed with liquid but not with an acidic ingredient. The student wants to emphasize a difference between",baking soda and baking powder. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"To make batters rise, bakers use chemical leavening agents such as baking soda and baking powder.","Baking soda and baking powder are chemical leavening agents that, when mixed with other ingredients, cause carbon dioxide to be released within a batter.","Baking soda is pure sodium bicarbonate, and honey is a type of acidic ingredient.","To produce carbon dioxide within a liquid batter, baking soda needs to be mixed with an acidic ingredient, whereas baking powder does not. Mo"
sat-practice-test-4-digital,Reading and Writing,1,32,Multiple Choice,D,"While researching a topic, a student has taken the following notes: • Soo Sunny Park is a Korean American artist who uses light as her primary medium of expression. • She created her work Unwoven Light in 2013. • Unwoven Light featured a chain-link fence fitted with iridescent plexiglass tiles. • When light passed through the fence, colorful prisms formed.",The student wants to describe Unwoven Light to an audience unfamiliar with Soo Sunny Park. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Park’s 2013 installation Unwoven Light, which included a chain-link fence and iridescent tiles made from plexiglass, featured light as its primary medium of expression.",Korean American light artist Soo Sunny Park created Unwoven Light in 2013.,The chain-link fence in Soo Sunny Park’s Unwoven Light was fitted with tiles made from iridescent plexiglass.,"In Unwoven Light, a 2013 work by Korean American artist Soo Sunny Park, light formed colorful prisms as it passed through a fence Park had fitted with iridescent tiles. ST If you finish before time is called, you m Do not turn to any ot odule"
sat-practice-test-4-digital,Reading and Writing,2,1,Multiple Choice,B,"The fashion resale market, in which consumers purchase secondhand clothing from stores and online sellers, generated nearly $30 billion globally in 2019. Expecting to see continued growth, some analysts _______ that revenues will more than double by 2028.",Which choice completes the text with the most logical and precise word or phrase?,produced,denied,worried,predicted
sat-practice-test-4-digital,Reading and Writing,2,2,Multiple Choice,C,"............................................................................................................................................................................................................................................................................................................... 14 Linguist Deborah Tannen has cautioned against framing contentious issues in terms of two highly competitive perspectives, such as pro versus con. According to Tannen, this debate-driven approach can strip issues of their complexity and, when used in front of an audience, can be less informative than the presentation of multiple perspectives in a noncompetitive format. To test Tannen’s hypothesis, students conducted a study in which they showed participants one of three different versions of local news commentary about the same issue. Each version featured a debate between two commentators with opposing views, a panel of three commentators with various views, or a single commentator.","Which finding from the students’ study, if true, would most strongly support Tannen’s hypothesis?","On average, participants perceived commentators in the debate as more knowledgeable about the issue than commentators in the panel.","On average, participants perceived commentators in the panel as more knowledgeable about the issue than the single commentator.","On average, participants who watched the panel correctly answered more questions about the issue than those who watched the debate or the single commentator did.","On average, participants who watched the single commentator correctly answered more questions about the issue than those who watched the debate did."
sat-practice-test-4-digital,Reading and Writing,2,3,Multiple Choice,),"Particle physicists like Ayana Holloway Arce and Aida El-Khadra spend much of their time _______ what is invisible to the naked eye: using sophisticated technology, they closely examine the behavior of subatomic particles, the smallest detectable parts of matter.",Which choice completes the text with the most logical and precise word or phrase?,selecting,inspecting,creating,deciding -- - ~ - - ~
sat-practice-test-4-digital,Reading and Writing,2,4,Multiple Choice,A,"Anthropologist Kristian J. Carlson and colleagues examined the fossilized clavicle and shoulder bones of a 3.6-million-year-old early hominin known as “Little Foot.” They found that these bones were _______ the clavicle and shoulder bones of modern apes that are frequent climbers, such as gorillas and chimpanzees, suggesting that Little Foot had adapted to life in the trees.",Which choice completes the text with the most logical and precise word or phrase?,surpassed by,comparable to,independent of,obtained from odule
sat-practice-test-4-digital,Reading and Writing,2,6,Multiple Choice,),"For a 2020 exhibition, photographer and neurobiologist Okunola Jeyifous _______ a series of new images based on a series of alphabet posters from the 1970s known as the “Black ABCs,” which featured Black children from Chicago. Jeyifous photographed the now-adult models and layered the photos over magnified images of the models’ cells, resulting in what he called “micro and macro portraiture.”",Which choice completes the text with the most logical and precise word or phrase?,validated,created,challenged,restored 17 CONTINUE
sat-practice-test-4-digital,Reading and Writing,2,8,Multiple Choice,D,"Whether the reign of a French monarch such as Hugh Capet or Henry I was historically consequential or relatively uneventful, its trajectory was shaped by questions of legitimacy and therefore cannot be understood without a corollary understanding of the factors that allowed the monarch to _______ his right to hold the throne.",Which choice completes the text with the most logical and precise word or phrase?,reciprocate,annotate,buttress,disengage Mo -- - - - - ~
sat-practice-test-4-digital,Reading and Writing,2,9,Multiple Choice,B,"Some bird species don’t raise their own chicks. Instead, adult females lay their eggs in other nests, next to another bird species’ own eggs. Female cuckoos have been seen quickly laying eggs in the nests of other bird species when those birds are out looking for food. After the eggs hatch, the noncuckoo parents will typically raise the cuckoo chicks as if they were their own offspring, even if the cuckoos look very different from the other chicks.",Which choice best describes the function of the underlined sentence in the text as a whole?,It introduces a physical feature of female cuckoos that is described later in the text.,It describes the appearance of the cuckoo nests mentioned earlier in the text.,It offers a detail about how female cuckoos carry out the behavior discussed in the text.,It explains how other birds react to the female cuckoo behavior discussed in the text. UUnnaauutthhoorriizzeedd ccooppyyiinngg oorr rreeuussee ooff aannyy ppaarrtt ooff tthhiiss ppaaggee iiss iilllleeggaall.. odule
sat-practice-test-4-digital,Reading and Writing,2,10,Multiple Choice,C,"Cats can judge unseen people’s positions in space by the sound of their voices and thus react with surprise when the same person calls to them from two different locations in a short span of time. Saho Takagi and colleagues reached this conclusion by measuring cats’ levels of surprise based on their ear and head movements while the cats heard recordings of their owners’ voices from two speakers spaced far apart. Cats exhibited a low level of surprise when owners’ voices were played twice from the same speaker, but they showed a high level of surprise when the voice was played once each from the two different speakers.","According to the text, how did the researchers determine the level of surprise displayed by the cats in the study?",They watched how each cat moved its ears and head.,They examined how each cat reacted to the voice of a stranger.,They studied how each cat physically interacted with its owner.,They tracked how each cat moved around the room. 19 CONTINUE
sat-practice-test-4-digital,Reading and Writing,2,12,Multiple Choice,C,,"“The Young Girl” is a 1920 short story by Katherine Mansfield. In the story, the narrator takes an unnamed seventeen-year-old girl and her younger brother out for a meal. In describing the teenager, Mansfield frequently contrasts the character’s pleasant appearance with her unpleasant attitude, as when Mansfield writes of the teenager, _______ Which quotation from “The Young Girl” most effectively illustrates the claim?","“I heard her murmur, ‘I can’t bear flowers on a table.’ They had evidently been giving her intense pain, for she positively closed her eyes as I moved them away.”","“While we waited she took out a little, gold powder-box with a mirror in the lid, shook the poor little puff as though she loathed it, and dabbed her lovely nose.”","“I saw, after that, she couldn’t stand this place a moment longer, and, indeed, she jumped up and turned away while I went through the vulgar act of paying for the tea.”",“She didn’t even take her gloves off. She lowered her eyes and drummed on the table. When a faint violin sounded she winced and bit her lip again. Silence.” ytniatrecnU )ytniatrecnuerom=seulavregral(
sat-practice-test-4-digital,Reading and Writing,2,13,Multiple Choice,41,"Economic PolicyUncertaintyin theUnitedKingdom,2005–2010 5 6 7 8 9 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 2 2 2 2 Year tax and public spending policy trade policy general economic policy High levels of public uncertainty about which economic policies a country will adopt can make planning difficult for businesses, but measures of such uncertainty have not tended to be very detailed. Recently, however, economist Sandile Hlatshwayo analyzed trends in news reports to derive measures not only for general economic policy uncertainty but also for uncertainty related to specific areas of economic policy, like tax or trade policy. One revelation of her work is that a general measure may not fully reflect uncertainty about specific areas of policy, as in the case of the United Kingdom, where general economic policy uncertainty _______",Which choice most effectively uses data from the graph to illustrate the claim?,aligned closely with uncertainty about tax and public spending policy in 2005 but differed from uncertainty about tax and public spending policy by a large amount in 2009.,was substantially lower than uncertainty about tax and public spending policy each year from 2005 to 2010.,reached its highest level between 2005 and 2010 in the same year that uncertainty about trade policy and tax and public spending policy reached their lowest levels.,was substantially lower than uncertainty about trade policy in 2005 and substantially higher than uncertainty about trade policy in 2010. 21 CONTINUE
sat-practice-test-4-digital,Reading and Writing,2,15,Multiple Choice,D,"King Lear is a circa 1606 play by William Shakespeare. In the play, the character of King Lear attempts to test his three daughters’ devotion to him. He later expresses regret for his actions, as is evident when he _______",Which choice most effectively uses a quotation from King Lear to illustrate the claim?,"says of himself, “I am a man / more sinned against than sinning.”","says during a growing storm, “This tempest will not give me leave to ponder / On things would hurt me more.”","says to himself while striking his head, “Beat at this gate that let thy folly in / And thy dear judgement out!”","says of himself, “I will do such things— / What they are yet, I know not; but they shall be / The terrors of the earth!”"
sat-practice-test-4-digital,Reading and Writing,2,16,Multiple Choice,C,"Many of William Shakespeare’s tragedies address broad themes that still appeal to today’s audiences. For instance, Romeo and Juliet, which is set in the Italy of Shakespeare’s time, tackles the themes of parents versus children and love versus hate, and the play continues to be read and produced widely around the world. But understanding Shakespeare’s so-called history plays can require a knowledge of several centuries of English history. Consequently, _______",Which choice most logically completes the text?,many theatergoers and readers today are likely to find Shakespeare’s history plays less engaging than the tragedies.,some of Shakespeare’s tragedies are more relevant to today’s audiences than twentieth-century plays.,Romeo and Juliet is the most thematically accessible of all Shakespeare’s tragedies.,experts in English history tend to prefer Shakespeare’s history plays to his other works. Mo
sat-practice-test-4-digital,Reading and Writing,2,17,Multiple Choice,A,"Ancestral Puebloans, the civilization from which present-day Pueblo tribes descended, emerged as early as 1500 B.C.E. in an area of what is now the southwestern United States and dispersed suddenly in the late 1200s C.E., abandoning established villages with systems for farming crops and turkeys. Recent analysis comparing turkey remains at Mesa Verde, one such village in southern Colorado, to samples from modern turkey populations in the Rio Grande Valley of north central New Mexico determined that the latter birds descended in part from turkeys cultivated at Mesa Verde, with shared genetic markers appearing only after 1280. Thus, researchers concluded that _______",Which choice most logically completes the text?,conditions of the terrains in the Rio Grande Valley and Mesa Verde had greater similarities in the past than they do today.,some Ancestral Puebloans migrated to the Rio Grande Valley in the late 1200s and carried farming practices with them.,Indigenous peoples living in the Rio Grande Valley primarily planted crops and did not cultivate turkeys before 1280.,the Ancestral Puebloans of Mesa Verde likely adopted the farming practices of Indigenous peoples living in other regions. odule
sat-practice-test-4-digital,Reading and Writing,2,18,Free Response,B,,,,,,
sat-practice-test-4-digital,Reading and Writing,2,19,Multiple Choice,D,"In his groundbreaking book Bengali Harlem and the Lost Histories of South Asian America, Vivek Bald uses newspaper articles, census records, ships’ logs, and memoirs to tell the _______ who made New York City their home in the early twentieth century.",Which choice completes the text so that it conforms to the conventions of Standard English?,story’s of the South Asian immigrants,story’s of the South Asian immigrants’,stories of the South Asian immigrants,stories’ of the South Asian immigrant’s 23 CONTINUE
sat-practice-test-4-digital,Reading and Writing,2,20,Free Response,14,,,,,,
sat-practice-test-4-digital,Reading and Writing,2,21,Multiple Choice,5,"Both Sona Charaipotra, an Indian American, and Dhonielle Clayton, an African American, grew up frustrated by the lack of diverse characters in books for young people. In 2011, these two writers joined forces to found CAKE Literary, a book packaging _______ specializes in the creation and promotion of stories told from diverse perspectives for children and young adults.",Which choice completes the text so that it conforms to the conventions of Standard English?,"company,",company that,company,"company, that"
sat-practice-test-4-digital,Reading and Writing,2,22,Multiple Choice,C,"A study led by scientist Rebecca Kirby at the University of Wisconsin–Madison found that black bears that eat human food before hibernation have increased levels of a rare carbon isotope, _______ due to the higher 13C levels in corn and cane sugar. Bears with these elevated levels were also found to have much shorter hibernation periods on average.",Which choice completes the text so that it conforms to the conventions of Standard English?,"carbon-13, (13C)",carbon-13 (13C),"carbon-13, (13C),","carbon-13 (13C),"
sat-practice-test-4-digital,Reading and Writing,2,23,Multiple Choice,D,"In 2010, archaeologist Noel Hidalgo Tan was visiting the twelfth-century temple of Angkor Wat in Cambodia when he noticed markings of red paint on the temple _______ the help of digital imaging techniques, he discovered the markings to be part of an elaborate mural containing over 200 paintings.",Which choice completes the text so that it conforms to the conventions of Standard English?,"walls, with",walls with,walls so with,walls. With Mo
sat-practice-test-4-digital,Reading and Writing,2,24,Multiple Choice,D,"Working from an earlier discovery of Charpentier’s, chemists Emmanuelle Charpentier and Jennifer Doudna—winners of the 2020 Nobel Prize in Chemistry—re-created and then reprogrammed the so-called “genetic scissors” of a species of DNA-cleaving bacteria _______ a tool that is revolutionizing the field of gene technology.",Which choice completes the text so that it conforms to the conventions of Standard English?,to forge,forging,forged,and forging
sat-practice-test-4-digital,Reading and Writing,2,25,Multiple Choice,C,"In 2016, engineer Vanessa Galvez oversaw the installation of 164 bioswales, vegetated channels designed to absorb and divert stormwater, along the streets of Queens, New York. By reducing the runoff flowing into city sewers, _______",Which choice completes the text so that it conforms to the conventions of Standard English?,the mitigation of both street flooding and the resulting pollution of nearby waterways has been achieved by bioswales.,the bioswales have mitigated both street flooding and the resulting pollution of nearby waterways.,the bioswales’ mitigation of both street flooding and the resulting pollution of nearby waterways has been achieved.,both street flooding and the resulting pollution of nearby waterways have been mitigated by bioswales. odule
sat-practice-test-4-digital,Reading and Writing,2,26,Free Response,B,,,,,,
sat-practice-test-4-digital,Reading and Writing,2,28,Multiple Choice,,"When soil becomes contaminated by toxic metals, it can be removed from the ground and disposed of in a landfill. _______ contaminated soil can be detoxified via phytoremediation: plants that can withstand high concentrations of metals absorb the pollutants and store them in their shoots, which are then cut off and safely disposed of, preserving the health of the plants.",Which choice completes the text with the most logical transition?,"Alternatively,","Specifically,","For example,","As a result,"
sat-practice-test-4-digital,Reading and Writing,2,29,Multiple Choice,,"While researching a topic, a student has taken the following notes: • The calendar used by most of the world (the Gregorian calendar) has 365 days. • Because 365 days can’t be divided evenly by 7 (the number of days in a week), calendar dates fall on a different day of the week each year. • The Hanke-Henry permanent calendar, developed as an alternative to the Gregorian calendar, has 364 days. • Because 364 can be divided evenly by 7, calendar dates fall on the same day of the week each year, which supports more predictable scheduling. The student wants to explain an advantage of the",Hanke-Henry calendar. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"The Gregorian calendar has 365 days, which is one day longer than the Hanke-Henry permanent calendar.",Adopting the Hanke-Henry permanent calendar would help solve a problem with the Gregorian calendar.,"Designed so calendar dates would occur on the same day of the week each year, the Hanke-Henry calendar supports more predictable scheduling than does the Gregorian calendar.","The Hanke-Henry permanent calendar was developed as an alternative to the Gregorian calendar, which is currently the most-used calendar in the world. Mo"
