test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-7-digital,Reading and Writing,1,28,Multiple Choice,D,"While researching a topic, a student has taken the following notes: • Angana Chaudhuri is a scientist. • Chaudhuri studies sedimentary rocks. • A scientist who studies sedimentary rocks is called a sedimentologist. • Shale, chalk, and sandstone are examples of sedimentary rocks. The student wants to identify what type of scientist",Chaudhuri is. Which choice most effectively uses relevant information from the notes to accomplish this goal?,Chalk is a type of sedimentary rock.,"Some scientists study shale, chalk, and sandstone.",There are scientists who study sedimentary rocks.,Chaudhuri is a sedimentologist.
sat-practice-test-7-digital,Reading and Writing,1,29,Multiple Choice,A,"While researching a topic, a student has taken the following notes: • “Raymond’s Run” is a short story. • It was written by African American author Toni Cade Bambara. • It was first published in her book Gorilla, My Love in 1972. • It is told from a first person perspective. • It takes place in Harlem. The student wants to indicate where the short story",takes place. Which choice most effectively uses relevant information from the notes to accomplish this goal?,“Raymond’s Run” takes place in Harlem.,"“Raymond’s Run” was published in Gorilla, My Love.",“Raymond’s Run” is told from a first person perspective.,“Raymond’s Run” was written by Toni Cade Bambara. Mo
sat-practice-test-7-digital,Reading and Writing,1,30,Multiple Choice,C,"While researching a topic, a student has taken the following notes: • The Royal Alcázar of Seville is a historic royal palace in Andalucía, Spain. • The palace is famous for its intricate tilework. • The palace features majolica and arista tiles. • In the majolica style, designs are painted directly on the ceramic tiles. • In the arista style, designs are stamped into the ceramic tiles. The student wants to contrast the two styles of tiles.",Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Tiles in the majolica and arista styles can be found in the Royal Alcázar of Seville in Andalucía, Spain.","Featuring tiles in the majolica and arista styles, the Royal Alcázar of Seville in Spain is famous for its intricate tilework.","In the arista style, designs are stamped into the ceramic tiles, whereas in the majolica style, the designs are painted directly on them.","Among the famous tilework of the Royal Alcázar of Seville are majolica style tiles, made by painting designs directly on the ceramic tiles."
sat-practice-test-7-digital,Reading and Writing,1,31,Multiple Choice,B,"While researching a topic, a student has taken the following notes: • Musicians around the world have used protest songs to raise awareness about human rights violations. • US folk singer Aunt Molly Jackson released the protest song “Poor Miner’s Farewell” in 1932. • It exposed the unlivable wages and dangerous working conditions coal miners faced in Kentucky during the 1920s and 1930s. • South African singer-songwriter Hugh Masekela released the protest song “Bring Him Back Home” in 1987. • It called on the South African government to free Nelson Mandela, an anti-apartheid leader who’d been unjustly imprisoned. The student wants to contrast the song “Poor Miner’s Farewell” with the song “Bring Him Back Home.”",Which choice most effectively uses relevant information from the notes to accomplish this goal?,The songs “Poor Miner’s Farewell” and “Bring Him Back Home” both raised awareness about human rights violations.,"While both are protest songs, “Poor Miner’s Farewell” is about coal miners in Kentucky, whereas “Bring Him Back Home” is about the anti-apartheid leader Nelson Mandela.","Hugh Masekela’s song “Bring Him Back Home,” released in 1987, called on the South African government to free Nelson Mandela.","Released in 1932 by Aunt Molly Jackson, the song “Poor Miner’s Farewell” was a protest against the unlivable wages and dangerous working conditions faced by Kentucky coal miners. odule"
sat-practice-test-7-digital,Reading and Writing,1,32,Multiple Choice,C,"While researching a topic, a student has taken the following notes: • Political scientist Graham Allison is known for his Thucydides trap theory. • Allison’s theory states that whenever “a rising power is threatening to displace a ruling power,” conflict is likely. • The theory is based on Thucydides’s explanation of the conflict between Athens and Sparta. • Thucydides wrote that “the rise of Athens and the fear this instilled in Sparta” made conflict “inevitable.” • History professor Edmund Stewart recently challenged the historical basis of the theory. • Stewart claimed that Athens was not a rising power and that the rivals experienced a “clash of cultures” instead. The student wants to use a quotation to challenge Thucydides’s explanation of the conflict between",Athens and Sparta. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"According to Allison’s Thucydides trap theory, whenever “a rising power is threatening to displace a ruling power,” conflict is likely.","Thucydides wrote that conflict between the two powers was “inevitable,” although Stewart later challenged the historical basis of this claim.","According to Stewart, a “clash of cultures” between Athens and Sparta caused the conflict, not Athens’s rise.","Thucydides explained that conflict was caused by “the rise of Athens and the fear this instilled in Sparta,” but Allison disagreed, seeing the conflict as an example of the Thucydides trap."
sat-practice-test-7-digital,Reading and Writing,1,33,Multiple Choice,D,"While researching a topic, a student has taken the following notes: • Researchers in a 2021 study wanted to determine the rate at which 17 languages conveyed both information and syllables. • They calculated the bits of information conveyed per second (the IR, or information rate). • The IR was found to be approximately consistent across the 17 languages (an average of 39 bits per second). • They calculated the number of syllables spoken per second (the SR, or syllable rate). • Spanish had the second-fastest SR (7.7 syllables per second). • Vietnamese had the sixteenth-fastest SR (5.3 syllables per second). The student wants to present an overview of the",study’s findings. Which choice most effectively uses relevant information from the notes to accomplish this goal?,The 2021 study determined the information rate (IR) of 17 languages in bits of information conveyed per second.,"Researchers found that information was conveyed more quickly in Spanish, at 7.7 syllables per second, than in Vietnamese, at 5.3 syllables per second.","Vietnamese had the sixteenth-fastest syllable rate, lower than that of Spanish, which had the second-fastest; however, Spanish had the lower information rate of the two.","Though some of the languages differed in number of syllables spoken per second, all 17 conveyed information at roughly the same rate."
sat-practice-test-7-digital,Reading and Writing,2,1,Multiple Choice,C,"Taking photographs in the mid-1800s was complicated and expensive, but this changed with the 1854 invention of the carte de visite, a small photo that cost little to make. Carte de visitephotos helped to _______photography: they made it easy and enjoyable for everyday people to have their pictures taken, and people at the time loved exchanging these small photos with friends and family.",Which choice completes the text with the most logical and precise word or phrase?,weaken,praise,popularize,isolate
sat-practice-test-7-digital,Reading and Writing,2,2,Multiple Choice,D,"- - - - - - - - - ~ Painter Alma W. Thomas was fascinated by the colors and shapes found in nature. The flowers and trees in the garden at her home in Washington, DC, _______her work. For example, Thomas’s use of broken brushstrokes was inspired by the way that light would shine through the leaves of a tree in front of her house.",Which choice completes the text with the most logical and precise word or phrase?,restricted,announced,distracted,influenced Mo
sat-practice-test-7-digital,Reading and Writing,2,3,Multiple Choice,C,"In the 1990s, conservationists began planting more than 500,000 native trees in the habitat of the Azores bullfinch to boost the bird’s numbers. This approach was apparently _______: the Azores bullfinch’s population size increased from as few as 100 birds at the end of the 1980s to around 1,300 in 2023.",Which choice completes the text with the most logical and precise word or phrase?,amusing,costly,successful,disastrous
sat-practice-test-7-digital,Reading and Writing,2,4,Multiple Choice,D,"The recently observed gamma ray burst GRB 230307A lasted for 200 seconds, _______for a burst generated by the merger of neutron stars. Bursts caused by neutron mergers typically last fewer than 2 seconds.",Which choice completes the text with the most logical and precise word or phrase?,a coincidence,a reprieve,an incident,an oddity
sat-practice-test-7-digital,Reading and Writing,2,5,Multiple Choice,B,"In 1776, the United States sent Benjamin Franklin to France to try to win the country’s support in the United States’ fight for independence from Great Britain. Franklin was very popular in France. This _______surely helped him to convince France to assist the United States.",Which choice completes the text with the most logical and precise word or phrase?,thoughtfulness,esteem,controversy,sincerity
sat-practice-test-7-digital,Reading and Writing,2,6,Multiple Choice,A,"In the 1950s, scientists didn’t know much about the ocean floor. Many scientists at the time believed that the ocean floor was mostly flat. But geologist Marie Tharp and her research partner, Bruce Heezen, proved that this idea was wrong. Using sonar data collected from the Atlantic Ocean, Tharp and Heezen showed that the floor was filled with canyons, mountains, and valleys.",Which choice best describes the function of the underlined sentence in the text as a whole?,It identifies a scientific belief that Tharp and Heezen showed to be wrong.,It describes the design of Tharp and Heezen’s experiment.,It emphasizes a disagreement between Tharp and Heezen.,It presents data to support a claim that Tharp and Heezen made. odule
sat-practice-test-7-digital,Reading and Writing,2,7,Multiple Choice,B,"In the early days of television in the 1940s, many people thought that US television programs would rely on the financial support of ad agencies and commercial sponsors, much like radio did. But advertisers hesitated to jump into a new space, particularly at a time when the manufacturing of new television sets was stalled due to the US’s involvement in World War II. Broadcasters, like the National Broadcasting Company (NBC), needed to persuade advertisers to support their programming despite not knowing whether there would be a robust television audience to begin with.",Which choice best describes the function of the underlined phrase in the text as a whole?,It compares the beginnings of radio programming with the beginnings of television programming in the United States.,It identifies a specific reason behind some advertisers’ hesitance to support television.,It describes how broadcasters attempted to convince advertisers to support television.,It explains why a type of television programming was popular at the time.
sat-practice-test-7-digital,Reading and Writing,2,8,Multiple Choice,B,"The Bayeux Tapestry, from eleventh-century France, depicts 75 scenes over 250 feet of fabric. It was likely produced by workers embroidering in sections and then joining the resulting panels together. It’s plausible that the workshop that produced the tapestry had never produced one so large, and some researchers claim that a close examination of the joins—the places where the panels are stitched together—suggests that the workers developed and refined their joining process over the course of production. For example, the first join the workers completed exhibits a clear misalignment of the borders of the two panels, whereas the later joins are virtually invisible.",Which choice best describes the function of the underlined sentence in the text as a whole?,It identifies the people and events depicted in the Bayeux Tapestry.,It supports an argument about the workers who produced the Bayeux Tapestry.,It compares the Bayeux Tapestry with other tapestries from eleventh-century France.,It describes how researchers determined where the Bayeux Tapestry was produced. Mo
sat-practice-test-7-digital,Reading and Writing,2,9,Multiple Choice,D,"Text 1 Little is known about how plate tectonics—wherein slabs of Earth’s crust move over, under, away from, and against one another—began. Some researchers contend that tectonic movements began around 3 billion years ago, often noting that computer models of Earth’s mantle temperature at the time indicate that the mantle would have been sufficiently molten to enable the plates to move. Text 2 Ultimately, any plausible claim about the inception of tectonic movement must rest on empirical evidence from the geological record. Researcher Wriju Chowdhury and his team analyzed the geochemistry of zircon crystals to gain insight into the chemical composition of the magma from which the crystals formed and, based on the data, compellingly argue that plate tectonics may have been occurring as early as 4.2 billion years ago.","Based on the texts, how would the author of Text 2 most likely respond to what “some researchers contend” as described in Text 1?",By suggesting that the temperature of Earth’s mantle 3 billion years ago was likely insufficient to allow for the level of tectonic movement predicted by computer models,By distinguishing between computer models of Earth’s mantle temperature that reliably predict the onset of plate tectonics and those that do not,By indicating that computer models of Earth’s mantle temperature are still being improved such that new models tend to be much more reliable than their predecessors,By asserting that a more definitive form of evidence than the computer models suggests a different timeline for the onset of plate tectonics on Earth
sat-practice-test-7-digital,Reading and Writing,2,10,Multiple Choice,B,,"Hevea brasiliensis, a tree in the Amazon rainforest, is the world’s main source of natural rubber. The tree produces a milky substance called latex that is used to make rubber. The bark of Hevea brasiliensisis helpful for the process of making rubber because it has a unique structure that makes it easy to collect latex. A network of tubes in the tree’s inner bark helps the latex to flow out easily when people make small cuts into the bark. What feature of Hevea brasiliensisdoes the text say is helpful for the process of making rubber?",Its latex produces rubber of an especially high quality.,Its bark has a unique structure that makes it easy to collect latex.,It is able to grow in a wide variety of climates around the world.,It is one of only two trees in the Amazon that produce latex. odule
sat-practice-test-7-digital,Reading and Writing,2,11,Multiple Choice,B,"Conservationists worldwide are working to protect ecosystems from habitat destruction and biodiversity loss, and in many cases, initiatives that rely on natural features or processes can help address such challenges. In response to a rapidly dwindling population of blueback salmon, the Quinault Indian Nation (a tribe in Washington State) partnered with the conservation organization Wild Salmon Center to restore naturally occurring logjams in the Quinault River. The logjams create shady pools where the blueback salmon can rest and spawn, thus promoting blueback population recovery.",Which choice best states the main idea of the text?,A partnership between the Quinault Indian Nation and Wild Salmon Center shows the importance of collaborative approaches to preserving biodiversity.,Nature-based approaches can be effective ways to achieve conservation goals.,"As indicated by a recent project, logjams help the blueback salmon thrive and reproduce.",Scientists now realize that nature-based conservation methods offer better long-term solutions to environmental issues than methods that are not nature-based do.
sat-practice-test-7-digital,Reading and Writing,2,12,Multiple Choice,D,"Percentage of Bus Shelters with Shade in a County by Areas’ Highest Average Summer Surface Temperature Highest average surface Percentage of bus stops temperature (Fahrenheit) with shaded shelter 90.2° 15% 97.7° 22% 102.7° 24% 111.2° 28% 125.6° 29% A student is researching a bus system in a large county where surface temperatures vary by area and are hot in the summer. The student claims that all areas of the county should have more bus stops with shaded shelter, noting that the highest percentage of bus stops with shaded shelter for any area is only _______",Which choice most effectively uses data from the table to complete the student’s claim?,50%.,15%.,90%.,29%. Mo
sat-practice-test-7-digital,Reading and Writing,2,13,Multiple Choice,C,"Total Areas and 2022 Populations of Smallest Arabian Peninsula Countries Total area Country (square miles) Population Kuwait 6,880 4,268,873 Bahrain 304 1,472,233 Qatar 4,471 2,695,122 In terms of area and population, the three smallest Arabian Peninsula countries are Bahrain, Qatar, and Kuwait.","According to the table, what is the total area of Bahrain?","4,268,873 square miles","4,471 square miles",304 square miles,"6,880 square miles"
