test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-8-digital,Reading and Writing,1,11,Multiple Choice,B,"Video Game Availability by Initial Release Years Initial release years Percentage of games still available 1975–1979 0.89 1980–1984 3.65 1985–1989 15.38 1990–1994 19.33 1995–1999 14.22 In a recent study, researchers found that relatively few video games released over the decades remain available today. For example, only 14.22 percent of games are still available that were initially released in _______",Which choice most effectively uses data from the table to complete the statement?,2000–2004.,1995–1999.,1970–1974.,1985–1989.
sat-practice-test-8-digital,Reading and Writing,1,12,Multiple Choice,C,"Depths at Which Four Deep-Sea Fish Species Live Depth below the Species ocean surface Footballfish 200–1,000 meters Southern stoplight loosejaw 500–2,000 meters Black seadevil 250–2,000 meters Bollons’ rattail 300–800 meters Some oceanic fish species live very deep underwater. Researchers collected data about the depths at which various species live.","Based on the information in the table, at what depth does the southern stoplight loosejaw live?","More than 2,000 meters below the surface",150 to 400 meters below the surface,"500 to 2,000 meters below the surface",250 to 500 meters below the surface
sat-practice-test-8-digital,Reading and Writing,1,13,Multiple Choice,A,"Housing Starts in the US, January–April 2022 (in thousands) Month Housing starts January 1,669 February 1,771 March 1,713 April 1,803 When construction of a single-family house begins, it is called a housing start. In the first four months of 2022, the highest number of housing starts in the United States was in _____",Which choice most effectively uses data from the table to complete the statement?,April.,March.,January.,February. Mo
sat-practice-test-8-digital,Reading and Writing,1,14,Multiple Choice,A,"Born in 1891 to a Quechua-speaking family in the Andes Mountains of Peru, Martín Chambi is today considered to be one of the most renowned figures of Latin American photography. In a paper for an art history class, a student claims that Chambi’s photographs have considerable ethnographic value—in his work, Chambi was able to capture diverse elements of Peruvian society, representing his subjects with both dignity and authenticity.","Which finding, if true, would most directly support the student’s claim?","Chambi took many commissioned portraits of wealthy Peruvians, but he also produced hundreds of images carefully documenting the peoples, sites, and customs of Indigenous communities of the Andes.","Chambi’s photographs demonstrate a high level of technical skill, as seen in his strategic use of illumination to create dramatic light and shadow contrasts.","During his lifetime, Chambi was known and celebrated both within and outside his native Peru, as his work was published in places like Argentina, Spain, and Mexico.",Some of the peoples and places Chambi photographed had long been popular subjects for Peruvian photographers.
sat-practice-test-8-digital,Reading and Writing,1,15,Multiple Choice,D,"Researchers hypothesized that a decline in the population of dusky sharks near the mid-Atlantic coast of North America led to a decline in the population of eastern oysters in the region. Dusky sharks do not typically consume eastern oysters but do consume cownose rays, which are the main predators of the oysters.","Which finding, if true, would most directly support the researchers’ hypothesis?",Declines in the regional abundance of dusky sharks’ prey other than cownose rays are associated with regional declines in dusky shark abundance.,Eastern oyster abundance tends to be greater in areas with both dusky sharks and cownose rays than in areas with only dusky sharks.,Consumption of eastern oysters by cownose rays in the region substantially increased before the regional decline in dusky shark abundance began.,Cownose rays have increased in regional abundance as dusky sharks have decreased in regional abundance. odule
sat-practice-test-8-digital,Reading and Writing,1,16,Multiple Choice,C,"In the mountains of Brazil, Barbacenia tomentosa and Barbacenia macrantha—two plants in the Velloziaceae family—establish themselves on soilless, nutrient-poor patches of quartzite rock. Plant ecologists Anna Abrahão and Patricia de Britto Costa used microscopic analysis to determine that the roots of B. tomentosaand B. macrantha, which grow directly into the quartzite, have clusters of fine hairs near the root tip; further analysis indicated that these hairs secrete both malic and citric acids. The researchers hypothesize that the plants depend on dissolving underlying rock with these acids, as the process not only creates channels for continued growth but also releases phosphates that provide the vital nutrient phosphorus.","Which finding, if true, would most directly support the researchers’ hypothesis?",Other species in the Velloziaceae family are found in terrains with more soil but have root structures similar to those of B. tomentosaand B.macrantha.,"Though B. tomentosaand B. macranthaboth secrete citric and malic acids, each species produces the acids in different proportions.",The roots of B. tomentosaand B. macrantha carve new entry points into rocks even when cracks in the surface are readily available.,B. tomentosaand B. macranthathrive even when transferred to the surfaces of rocks that do not contain phosphates.
sat-practice-test-8-digital,Reading and Writing,1,17,Multiple Choice,A,"Many mosquito repellents contain natural components that work by activating multiple odor receptors on mosquitoes’ antennae. As the insects develop resistance, new repellents are needed. Ke Dong and her team found that EBF, a molecular component of a chrysanthemum-flower extract, can repel mosquitoes by activating just one odor receptor—and this receptor, Or31, is present in all mosquito species known to carry diseases. Therefore, the researchers suggest that in developing new repellents, it would be most useful to _______",Which choice most logically completes the text?,identify molecular components similar to EBF that target the activation of Or31 receptors.,investigate alternative methods for extracting EBF molecules from chrysanthemums.,verify the precise locations of Or31 and other odor receptors on mosquitoes’ antennae.,determine the maximum number of different odor receptors that can be activated by a single molecule. Mo
sat-practice-test-8-digital,Reading and Writing,1,18,Multiple Choice,D,"Birds of many species ingest foods containing carotenoids, pigmented molecules that are converted into feather coloration. Coloration tends to be especially saturated in male birds’ feathers, and because carotenoids also confer health benefits, the deeply saturated colors generally serve to communicate what is known as an honest signal of a bird’s overall fitness to potential mates. However, ornithologist Allison J. Shultz and others have found that males in several species of the tanager genus Ramphocelususe microstructures in their feathers to manipulate light, creating the appearance of deeper saturation without the birds necessarily having to maintain a carotenoid-rich diet. These findings suggest that _______",Which choice most logically completes the text?,individual male tanagers can engage in honest signaling without relying on carotenoid consumption.,feather microstructures may be less effective than deeply saturated feathers for signaling overall fitness.,scientists have yet to determine why tanagers have a preference for mates with colorful appearances.,a male tanager’s appearance may function as a dishonest signal of the individual’s overall fitness.
sat-practice-test-8-digital,Reading and Writing,1,19,Multiple Choice,C,"When writing The Other Black Girl(2021), novelist Zakiya Dalila Harris drew on her own experiences working at a publishing office. The award-winning book is Harris’s first novel, but her writing _______ honored before. At the age of twelve, she entered a contest to have a story published inAmerican Girl magazine—and won.",Which choice completes the text so that it conforms to the conventions of Standard English?,were,have been,has been,are
sat-practice-test-8-digital,Reading and Writing,1,20,Multiple Choice,B,"In order to prevent nonnative fish species from moving freely between the Mediterranean and Red Seas, marine biologist Bella Galil has proposed that a saline lock system be installed along the Suez Canal in Egypt’s Great Bitter Lakes. The lock would increase the salinity of the lakes and _______a natural barrier of water most marine creatures would be unable to cross.",Which choice completes the text so that it conforms to the conventions of Standard English?,creates,create,creating,created odule
sat-practice-test-8-digital,Reading and Writing,1,21,Multiple Choice,B,"Paintings by the renowned twentieth-century US _______were featured in Artist to Artist, an exhibition at the Smithsonian Art Museum that paired the works of artists whose career trajectories intersected in meaningful ways.",Which choice completes the text so that it conforms to the conventions of Standard English?,"artists: Thomas Hart Benton and Jackson Pollock,",artists Thomas Hart Benton and Jackson Pollock,"artists Thomas Hart Benton, and Jackson Pollock,","artists, Thomas Hart Benton and Jackson Pollock"
sat-practice-test-8-digital,Reading and Writing,1,22,Multiple Choice,A,"In 1943, in the midst of World War II, mathematics professor Grace Hopper was recruited by the US military to help the war effort by solving complex equations. Hopper’s subsequent career would involve more than just _______as a pioneering computer programmer, Hopper would help usher in the digital age.",Which choice completes the text so that it conforms to the conventions of Standard English?,"equations, though:","equations, though,","equations. Though,",equations though
sat-practice-test-8-digital,Reading and Writing,1,23,Multiple Choice,D,"Increased gender diversity is revitalizing the field of economics, according to Harvard’s Claudia Goldin. The trailblazing accomplishments of Goldin, winner of the 2023 Nobel Prize in Economics for her work on women in the labor force, _______to the value of scholars of diverse backgrounds in spurring research into previously unexplored, but vitally important, topics.",Which choice completes the text so that it conforms to the conventions of Standard English?,attests,has attested,is attesting,attest
sat-practice-test-8-digital,Reading and Writing,1,24,Multiple Choice,C,"During the English neoclassical period (1660–1789), many writers imitated the epic poetry and satires of ancient Greece and Rome. They were not the first in England to adopt the literary modes of classical _______some of the most prominent figures of the earlier Renaissance period were also influenced by ancient Greek and Roman literature.",Which choice completes the text so that it conforms to the conventions of Standard English?,"antiquity, however","antiquity, however,","antiquity, however;","antiquity; however, Mo"
sat-practice-test-8-digital,Reading and Writing,1,25,Multiple Choice,C,"English poet and Shakespeare contemporary John Donne’s _______much admired during his lifetime (1572–1631) and in the decades that followed, had, at the time of their enthusiastic rediscovery by the early twentieth-century modernists, been essentially gathering dust for the intervening 250 years.",Which choice completes the text so that it conforms to the conventions of Standard English?,works were,"works, were","works,",works had been
sat-practice-test-8-digital,Reading and Writing,1,26,Multiple Choice,D,"Compared to that of alumina glass, _______silica glass atoms are so far apart that they are unable to re-form bonds after being separated.",Which choice completes the text so that it conforms to the conventions of Standard English?,silica glass is at a significant disadvantage due to its more dispersed atomic arrangement:,"silica glass has a more dispersed atomic arrangement, resulting in a significant disadvantage:",a significant disadvantage of silica glass is that its atomic arrangement is more dispersed:,"silica glass’s atomic arrangement is more dispersed, resulting in a significant disadvantage:"
sat-practice-test-8-digital,Reading and Writing,1,27,Multiple Choice,A,"In November 1934, Amrita Sher-Gil was living in what must have seemed like the ideal city for a young artist: Paris. She was studying firsthand the color-saturated style of France’s modernist masters and beginning to make a name for herself as a painter. _______Sher-Gil longed to return to her childhood home of India; only there, she believed, could her art truly flourish.",Which choice completes the text with the most logical transition?,"Still,","Therefore,","Indeed,","Furthermore,"
sat-practice-test-8-digital,Reading and Writing,1,28,Multiple Choice,B,"In 1974, Mexican chemist Mario Molina and US chemist F. Sherwood Rowland discovered that chemicals called CFCs were harmful to the ozone layer. Their research was extremely influential in the fight against CFCs. _______it laid the foundation for a 1987 treaty that phased out the use of CFCs across the globe.",Which choice completes the text with the most logical transition?,"Regardless,","Specifically,","However,","Earlier, odule"
sat-practice-test-8-digital,Reading and Writing,1,29,Multiple Choice,C,"With his room-sized installation Unicorn/My Private Sky, Norwegian artist Børre Sæthre succeeds in creating a whimsical yet perplexing experience. _______when visitors set foot inside the fantastically blue room and encounter the life-sized stuffed unicorn preening at the far end of it, they are both dazzled and confused—as if stepping into a strange and enchanting new world.",Which choice completes the text with the most logical transition?,"Second,","Instead,","Indeed,","Nevertheless,"
sat-practice-test-8-digital,Reading and Writing,1,30,Multiple Choice,A,"While researching a topic, a student has taken the following notes: • The Philadelphia and Lancaster Turnpike was a road built between 1792 and 1794. • It was the first private turnpike in the United States. • It connected the cities of Philadelphia and Lancaster in the state of Pennsylvania. • It was sixty-two miles long.",The student wants to emphasize the distance covered by the Philadelphia and Lancaster Turnpike. Which choice most effectively uses relevant information from the notes to accomplish this goal?,The sixty-two-mile-long Philadelphia and Lancaster Turnpike connected the Pennsylvania cities of Philadelphia and Lancaster.,The Philadelphia and Lancaster Turnpike was the first private turnpike in the United States.,"The Philadelphia and Lancaster Turnpike, which connected two Pennsylvania cities, was built between 1792 and 1794.","A historic Pennsylvania road, the Philadelphia and Lancaster Turnpike was completed in 1794."
sat-practice-test-8-digital,Reading and Writing,1,31,Multiple Choice,C,"While researching a topic, a student has taken the following notes: • Most, but not all, of the Moon’s oxygen comes from the Sun, via solar wind. • Cosmochemist Kentaro Terada from Osaka University wondered if some of the unaccounted-for oxygen could be coming from Earth. • In 2008, he analyzed data from the Japanese satellite Kaguya. • Kaguya gathered data about gases and particles it encountered while orbiting the Moon. • Based on the Kaguya data, Terada confirmed his suspicion that Earth is sending oxygen to the Moon. The student wants to emphasize the aim of the",research study. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"As it orbited the Moon, the Kaguya satellite collected data that was later analyzed by cosmochemist Kentaro Terada.","Before 2008, Kentaro Terada wondered if the Moon was receiving some of its oxygen from Earth.",Cosmochemist Kentaro Terada set out to determine whether some of the Moon’s oxygen was coming from Earth.,Kentaro Terada’s study determined that Earth is sending a small amount of oxygen to the Moon. Mo
sat-practice-test-8-digital,Reading and Writing,1,32,Multiple Choice,A,"While researching a topic, a student has taken the following notes: • The factors that affect clutch size (the number of eggs laid at one time) have been well studied in birds but not in lizards. • A team led by Shai Meiri of Tel Aviv University investigated which factors influence lizard clutch size. • Meiri’s team obtained clutch-size and habitat data for over 3,900 lizard species and analyzed the data with statistical models. • Larger clutch size was associated with environments in higher latitudes that have more seasonal change. • Lizards in higher-latitude environments may lay larger clutches to take advantage of shorter windows of favorable conditions. The student wants to emphasize the aim of the",research study. Which choice most effectively uses relevant information from the notes to accomplish this goal?,Researchers wanted to know which factors influence lizard egg clutch size because such factors have been well studied in birds but not in lizards.,"After they obtained data for over 3,900 lizard species, researchers determined that larger clutch size was associated with environments in higher latitudes that have more seasonal change.",We now know that lizards in higher-latitude environments may lay larger clutches to take advantage of shorter windows of favorable conditions.,"Researchers obtained clutch-size and habitat data for over 3,900 lizard species and analyzed the data with statistical models. odule"
sat-practice-test-8-digital,Reading and Writing,1,33,Free Response,D,,"While researching a topic, a student has taken the following notes: • British musicians John Lennon and Paul McCartney shared writing credit for numerous Beatles songs. • Many Lennon-McCartney songs were actually written by either Lennon or McCartney, not by both. • The exact authorship of specific parts of many Beatles songs, such as the verse for “In My Life,” is disputed. • Mark Glickman, Jason Brown, and Ryan Song used statistical methods to analyze the musical content of Beatles songs. • They concluded that there is 18.9% probability that McCartney wrote the verse for “In My Life,” stating that the verse is “consistent with Lennon’s songwriting style.” If you finish before time is called, you may Do not turn to any othe",,,,
sat-practice-test-8-digital,Reading and Writing,2,1,Multiple Choice,B,"Art scholars have noted that some colors seem to be more _______ viewers than others. For example, people tend to find paintings featuring blues and greens more appealing than paintings featuring yellows and oranges.",Which choice completes the text with the most logical and precise word or phrase?,confusing for,attractive to,corrected by,similar to
sat-practice-test-8-digital,Reading and Writing,2,2,Multiple Choice,A,"Estimates of Tyrannosaurid Bite Force A Study Year Estimation method Cost et al. 2019 muscular and skeletal modeling Gignac and Erickson 2017 tooth-bone interaction analysis Meers 2002 body-mass scaling Bates and Falkingham 2012 muscular and skeletal modeling The largest tyrannosaurids—the family of carnivorous dinos that includes Tarbosaurus, Albertosaurus, and, most famousl Tyrannosaurus rex—are thought to have had the strongest bi land animals in Earth’s history. Determining the bite force o animals can be difficult, however, and paleontologists Paul B Emily Rayfield have suggested that an estimate of dinosaur b may be significantly influenced by the methodology used in g that estimate.",Which choice best describes data from the table that support and Rayfield’s suggestion?,"The study by Meers used body-mass scaling and produc lowest estimated maximum bite force, while the study by used muscular and skeletal modeling and produced the h estimated maximum.","In their study, Gignac and Erickson used tooth-bone int analysis to produce an estimated bite force range with a of 8,000 newtons and a maximum of 34,000 newtons.","The bite force estimates produced by Bates and Falkingh Cost et al. were similar to each other, while the estimates by Meers and by Gignac and Erickson each differed subs from any other estimate.","The estimated maximum bite force produced by Cost et exceeded the estimated maximum produced by Bates an Falkingham, even though both groups of researchers use same method to generate their estimates."
sat-practice-test-8-digital,Reading and Writing,2,3,Multiple Choice,B,- - - - - - - - - ~ The process of mechanically recycling plastics is often considered ______ because of the environmental impact and the loss of material quality that often occurs. But chemist Takunda Chazovachii has helped develop a cleaner process of chemical recycling that converts superabsorbent polymers from diapers into a desirable reusable adhesive.,Which choice completes the text with the most logical and precise word or phrase?,resilient,inadequate,dynamic,satisfactory Mo
sat-practice-test-8-digital,Reading and Writing,2,4,Multiple Choice,D,"In the Indigenous intercropping system known as the Three Sisters, maize, squash, and beans form an _______web of relations: maize provides the structure on which the bean vines grow; the squash vines cover the soil, discouraging competition from weeds; and the beans aid their two “sisters” by enriching the soil with essential nitrogen.",Which choice completes the text with the most logical and precise word or phrase?,indecipherable,ornamental,obscure,intricate
sat-practice-test-8-digital,Reading and Writing,2,5,Multiple Choice,D,"Within baleen whale species, some individuals develop an accessory spleen—a seemingly functionless formation of splenetic tissue outside the normal spleen. Given the formation’s greater prevalence among whales known to make deeper dives, some researchers hypothesize that its role isn’t ______; rather, the accessory spleen may actively support diving mechanisms.",Which choice completes the text with the most logical and precise word or phrase?,replicable,predetermined,operative,latent
sat-practice-test-8-digital,Reading and Writing,2,6,Multiple Choice,A,"In 2007, computer scientist Luis von Ahn was working on converting printed books into a digital format. He found that some words were distorted enough that digital scanners couldn’t recognize them, but most humans could easily read them. Based on that finding, von Ahn invented a simple security test to keep automated “bots” out of websites. The first version of the reCAPTCHA test asked users to type one known word and one of the many words scanners couldn’t recognize. Correct answers proved the users were humans and added data to the book-digitizing project.",Which choice best states the main purpose of the text?,To discuss von Ahn’s invention of reCAPTCHA,To explain how digital scanners work,To call attention to von Ahn’s book-digitizing project,To indicate how popular reCAPTCHA is
sat-practice-test-8-digital,Reading and Writing,2,7,Multiple Choice,C,"The following text is adapted from Gwendolyn Bennett’s 1926 poem “Street Lamps in Early Spring.” Night wears a garment All velvet soft, all violet blue... And over her face she draws a veil As shimmering fine as floating dew... And here and there In the black of her hair The subtle hands of Night Move slowly with their gem-starred light.",Which choice best describes the overall structure of the text?,It presents alternating descriptions of night in a rural area and in a city.,"It sketches an image of nightfall, then an image of sunrise.",It makes an extended comparison of night to a human being.,It portrays how night changes from one season of the year to the next. odule
sat-practice-test-8-digital,Reading and Writing,2,8,Multiple Choice,A,"The following text is adapted from Jane Austen’s 1814 novel Mansfield Park. The speaker, Tom, is considering staging a play at home with a group of his friends and family. We mean nothing but a little amusement among ourselves, just to vary the scene, and exercise our powers in something new. We want no audience, no publicity. We may be trusted, I think, in choosing some play most perfectly unexceptionable; and I can conceive no greater harm or danger to any of us in conversing in the elegant written language of some respectable author than in chattering in words of our own.",Which choice best states the main purpose of the text?,To offer Tom’s assurance that the play will be inoffensive and involve only a small number of people,To clarify that the play will not be performed in the manner Tom had originally intended,To elaborate on the idea that the people around Tom lack the skills to successfully stage a play,To assert that Tom believes the group performing the play will be able to successfully promote it
sat-practice-test-8-digital,Reading and Writing,2,9,Multiple Choice,A,"Text1 Ecologists have long wondered how thousands of microscopic phytoplankton species can live together near ocean surfaces competing for the same resources. According to conventional wisdom, one species should emerge after outcompeting the rest. So why do so many species remain? Ecologists’ many efforts to explain this phenomenon still haven’t uncovered a satisfactory explanation. Text 2 Ecologist Michael Behrenfeld and colleagues have connected phytoplankton’s diversity to their microscopic size. Because these organisms are so tiny, they are spaced relatively far apart from each other in ocean water and, moreover, experience that water as a relatively dense substance. This in turn makes it hard for them to move around and interact with one another. Therefore, says Behrenfeld’s team, direct competition among phytoplankton probably happens much less than previously thought.","Based on the texts, how would Behrenfeld and colleagues (Text 2) most likely respond to the “conventional wisdom” discussed in Text 1?",By arguing that it is based on a misconception about phytoplankton species competing with one another,By asserting that it fails to recognize that routine replenishment of ocean nutrients prevents competition between phytoplankton species,By suggesting that their own findings help clarify how phytoplankton species are able to compete with larger organisms,By recommending that more ecologists focus their research on how competition among phytoplankton species is increased with water density Mo
sat-practice-test-8-digital,Reading and Writing,2,10,Multiple Choice,D,"The following text is adapted from Sylvia Acevedo’s 2018 memoir Path to the Stars:My Journey from Girl Scout to Rocket Scientist. The narrator is traveling by car with her family to Mexico City. Mario and Laura are her brother and sister. Mario and I played games to see how many different license plates we could spot, and Laura liked to look for children in the back seats of the cars we passed. We were used to the forty-five- minute drive to El Paso and familiar with the six-hour ride to Chihuahua, but I wondered what the long journey to Mexico City would be like.","According to the text, what did the narrator and Mario do while riding in the car?",They read books.,They sang songs.,They went to sleep.,They played games.
sat-practice-test-8-digital,Reading and Writing,2,11,Multiple Choice,B,"In the 1700s and 1800s, European composers experimented with volume in their musical works. They did so by increasing the number of musicians playing in the orchestra. For example, in some of his operas, German composer Richard Wagner added more horns, trombones, and tubas to the orchestra. With more instruments playing at the same time, the orchestra could play extremely loudly at key moments in his operas.","According to the text, how did Richard Wagner achieve moments of extremely high volume in his operas?",By moving the performances of his operas from outdoor stages to indoor ones,"By increasing the number of musicians playing horns, trombones, and tubas in the orchestra",By building a concert hall whose shape would cause sounds to echo,By insisting that the singers undergo special training to sing for extended periods of time odule
sat-practice-test-8-digital,Reading and Writing,2,12,Multiple Choice,C,"Poetry in Classical Nahuatl, the language of the Aztec Empire, relies on difrasismo, or a parallel noun construction that conventionally operates as a single metaphor. For example, the common difrasismo in cuauhtli in ocelotl(literally, “the eagle, the jaguar”) signifies “warrior.” The device’s function is both formal—providing structure to lines of verse—and ritual: semantic relations among the two nouns and the concept they signify can be tenuous, as in the previous example, such that difrasismos are often only intelligible according to the conceptual associations observed in Aztec ceremonial culture.",Which statement about the difrasismo in cuauhtli in ocelotlis most strongly supported by the text?,Its metaphorical significance derives from the semantic equivalence of the two nouns constituting the difrasismo.,Its unintelligibility may cause its formal function within a line of verse to go unnoticed by present-day readers.,Its apparent obscurity can be resolved when considered in the proper cultural context.,Its frequency in Classical Nahuatl poetry confirms its intelligibility to the Aztec audience.
sat-practice-test-8-digital,Reading and Writing,2,13,Multiple Choice,D,"Eighteenth-century economist Adam Smith is famed for his metaphor of the invisible hand, which he putatively used to illustrate a robust model of how individuals produce aggregate benefits by pursuing their own economic interests. Note “putatively”: as Gavin Kennedy has shown, Smith deploys this metaphor only once in his economic writings—to make a narrow point about the then-dominant economic theory of mercantilism—and it was largely ignored until some twentieth-century economists eager to secure an intellectual pedigree for their views elevated it to a fully-fledged paradigm.",Which choice best states the main idea of the text?,"Although Smith is famed for his metaphor of the invisible hand, the metaphor was largely ignored until economists in the twentieth century came to realize that the metaphor was a robust model that anticipated their own views.","Some twentieth-century economists gave Smith’s metaphor of the invisible hand a significance it does not have in Smith’s work, but it is nevertheless a useful model of how individuals produce aggregate benefits by pursuing their own economic interests.","Smith’s metaphor of the invisible hand has been interpreted as a model of how individuals acting in their own interest produce aggregate benefits, but it was intended as a subtle critique of the economic theory of mercantilism.",The reputation of Smith’s metaphor of the invisible hand is not due to the importance of the metaphor in Smith’s work but rather to the promotion of the metaphor by some later economists for their own ends. Mo
sat-practice-test-8-digital,Reading and Writing,2,14,Multiple Choice,B,"Approximate Rates of Speech and Information Conveyed for Five Languages Rate of speech Rate of information (syllables conveyed (bits Language per second) per second) Serbian 7.2 39.1 Spanish 7.7 42.0 Vietnamese 5.3 42.5 Thai 4.7 33.8 Hungarian 5.9 34.6 A group of researchers working in Europe, Asia, and Oceania conducted a study to determine how quickly different Eurasian languages are typically spoken (in syllables per second) and how much information they can effectively convey (in bits per second). They found that, although languages vary widely in the speed at which they are spoken, the amount of information languages can effectively convey tends to vary much less. Thus, they claim that two languages with very different spoken rates can nonetheless convey the same amount of information in a given amount of time.",Which choice best describes data from the table that support the researchers’ claim?,"Among the five languages in the table, Thai and Hungarian have the lowest rates of speech and the lowest rates of information conveyed.",Vietnamese conveys information at approximately the same rate as Spanish despite being spoken at a slower rate.,"Among the five languages in the table, the language that is spoken the fastest is also the language that conveys information the fastest.","Serbian and Spanish are spoken at approximately the same rate, but Serbian conveys information faster than Spanish does. odule"
